,residuals
6610,-1.0581283569335938
6615,-1.0581283569335938
6622,-1.0581283569335938
6634,-1.0581283569335938
6640,-1.0581283569335938
6661,-1.0581283569335938
6666,-1.0581283569335938
6673,-1.0581283569335938
6685,-1.0581283569335938
6691,-1.0581283569335938
6712,-1.0581283569335938
6717,-1.0581283569335938
6724,-1.0581283569335938
6736,-1.0581283569335938
6742,-1.0581283569335938
6763,-1.0581283569335938
6768,-1.0581283569335938
6775,-1.0581283569335938
6787,-1.0581283569335938
6793,-1.0581283569335938
6814,-1.0581283569335938
6819,-1.0581283569335938
6826,-1.0581283569335938
6838,-1.0581283569335938
6844,-1.0581283569335938
6865,-1.0581283569335938
6870,-1.0581283569335938
6877,-1.0581283569335938
6889,-1.0581283569335938
6895,-1.0581283569335938
6916,-1.0581283569335938
6921,-1.0581283569335938
6928,-1.0581283569335938
6940,-1.0581283569335938
6946,-1.0581283569335938
6967,-1.0581283569335938
6972,-1.0581283569335938
6979,-1.0581283569335938
6991,-1.0581283569335938
6997,-1.0581283569335938
7018,-1.0581283569335938
7023,-1.0581283569335938
7030,-1.0581283569335938
7042,-1.0581283569335938
7048,-1.0581283569335938
7069,-1.0581283569335938
7074,-1.0581283569335938
7081,-1.0581283569335938
7093,-1.0581283569335938
7099,-1.0581283569335938
7120,-1.0581283569335938
7125,-1.0581283569335938
7132,-1.0581283569335938
7144,-1.0581283569335938
7150,-1.0581283569335938
7171,-1.0581283569335938
7176,-1.0581283569335938
7183,-1.0581283569335938
7195,-1.0581283569335938
7201,-1.0581283569335938
7222,-1.0581283569335938
7227,-1.0581283569335938
7234,-1.0581283569335938
7246,-1.0581283569335938
7252,-1.0581283569335938
7273,-1.0581283569335938
7278,-1.0581283569335938
7285,-1.0581283569335938
7297,-1.0581283569335938
7303,-1.0581283569335938
7324,-1.0581283569335938
7329,-1.0581283569335938
7336,-1.0581283569335938
7348,-1.0581283569335938
7354,-1.0581283569335938
7375,-1.0581283569335938
7380,-1.0581283569335938
7387,-1.0581283569335938
7399,-1.0581283569335938
7405,-1.0581283569335938
7426,-1.0581283569335938
7431,-1.0581283569335938
7438,-1.0581283569335938
7450,-1.0581283569335938
7456,-1.0581283569335938
7477,-1.0581283569335938
7482,-1.0581283569335938
7489,-1.0581283569335938
7501,-1.0581283569335938
7507,-1.0581283569335938
7528,-1.0581283569335938
7533,-1.0581283569335938
7540,-1.0581283569335938
7552,-1.0581283569335938
7558,-1.0581283569335938
7579,-1.0581283569335938
7584,-1.0581283569335938
7591,-1.0581283569335938
7603,-1.0581283569335938
7609,-1.0581283569335938
7630,-1.0581283569335938
7635,-1.0581283569335938
7642,-1.0581283569335938
7654,-1.0581283569335938
7660,-1.0581283569335938
7681,-1.0581283569335938
7686,-1.0581283569335938
7693,-1.0581283569335938
7705,-1.0581283569335938
7711,-1.0581283569335938
7732,-1.0581283569335938
7737,-1.0581283569335938
7744,-1.0581283569335938
7756,-1.0581283569335938
7762,-1.0581283569335938
7783,-1.0581283569335938
7788,-1.0581283569335938
7795,-1.0581283569335938
7807,-1.0581283569335938
7813,-1.0581283569335938
7834,-1.0581283569335938
7839,-1.0581283569335938
7846,-1.0581283569335938
7858,-1.0581283569335938
7864,-1.0581283569335938
7885,-1.0581283569335938
7890,-1.0581283569335938
7897,-1.0581283569335938
7909,-1.0581283569335938
7915,-1.0581283569335938
7936,-1.0581283569335938
7941,-1.0581283569335938
7948,-1.0581283569335938
7960,-1.0581283569335938
7966,-1.0581283569335938
7987,-1.0581283569335938
7992,-1.0581283569335938
7999,-1.0581283569335938
8011,-1.0581283569335938
8017,-1.0581283569335938
8038,-1.0581283569335938
8043,-1.0581283569335938
8050,-1.0581283569335938
8062,-1.0581283569335938
8068,-1.0581283569335938
8089,-1.0581283569335938
8094,-1.0581283569335938
8101,-1.0581283569335938
8113,-1.0581283569335938
8119,-1.0581283569335938
8140,-1.0581283569335938
8145,-1.0581283569335938
8152,-1.0581283569335938
8164,-1.0581283569335938
8170,-1.0581283569335938
8191,-1.0581283569335938
8196,-1.0581283569335938
8203,-1.0581283569335938
8215,-1.0581283569335938
8221,-1.0581283569335938
8242,-1.0581283569335938
8247,-1.0581283569335938
8254,-1.0581283569335938
8266,-1.0581283569335938
8272,-1.0581283569335938
8293,-1.0581283569335938
8298,-1.0581283569335938
8305,-1.0581283569335938
8317,-1.0581283569335938
8323,-1.0581283569335938
8344,-1.0581283569335938
8349,-1.0581283569335938
8356,-1.0581283569335938
8368,-1.0581283569335938
8374,-1.0581283569335938
8395,-1.0581283569335938
8400,-1.0581283569335938
8407,-1.0581283569335938
8419,-1.0581283569335938
8425,-1.0581283569335938
8446,-1.0581283569335938
8451,-1.0581283569335938
8458,-1.0581283569335938
8470,-1.0581283569335938
8476,-1.0581283569335938
8497,-1.0581283569335938
8502,-1.0581283569335938
8509,-1.0581283569335938
8521,-1.0581283569335938
8527,-1.0581283569335938
8548,-1.0581283569335938
8553,-1.0581283569335938
8560,-1.0581283569335938
8572,-1.0581283569335938
8578,-1.0581283569335938
8599,-1.0581283569335938
8604,-1.0581283569335938
8611,-1.0581283569335938
8623,-1.0581283569335938
8629,-1.0581283569335938
8650,-1.0581283569335938
8655,-1.0581283569335938
8662,-1.0581283569335938
8674,-1.0581283569335938
8680,-1.0581283569335938
8701,-1.0581283569335938
8706,-1.0581283569335938
8713,-1.0581283569335938
8725,-1.0581283569335938
8731,-1.0581283569335938
8752,-1.0581283569335938
8757,-1.0581283569335938
8764,-1.0581283569335938
8776,-1.0581283569335938
8782,-1.0581283569335938
8803,-1.0581283569335938
8808,-1.0581283569335938
8815,-1.0581283569335938
8827,-1.0581283569335938
8833,-1.0581283569335938
8854,-1.0581283569335938
8859,-1.0581283569335938
8866,-1.0581283569335938
8878,-1.0581283569335938
8884,-1.0581283569335938
8905,-1.0581283569335938
8910,-1.0581283569335938
8917,-1.0581283569335938
8929,-1.0581283569335938
8935,-1.0581283569335938
8956,-1.0581283569335938
8961,-1.0581283569335938
8968,-1.0581283569335938
8980,-1.0581283569335938
8986,-1.0581283569335938
9007,-1.0581283569335938
9012,-1.0581283569335938
9019,-1.0581283569335938
9031,-1.0581283569335938
9037,-1.0581283569335938
9058,-1.0581283569335938
9063,-1.0581283569335938
9070,-1.0581283569335938
9082,-1.0581283569335938
9088,-1.0581283569335938
9109,-1.0581283569335938
9114,-1.0581283569335938
9121,-1.0581283569335938
9133,-1.0581283569335938
9139,-1.0581283569335938
9160,-1.0581283569335938
9165,-1.0581283569335938
9172,-1.0581283569335938
9184,-1.0581283569335938
9190,-1.0581283569335938
9211,-1.0581283569335938
9216,-1.0581283569335938
9223,-1.0581283569335938
9235,-1.0581283569335938
9241,-1.0581283569335938
9262,-1.0581283569335938
9267,-1.0581283569335938
9274,-1.0581283569335938
9286,-1.0581283569335938
9292,-1.0581283569335938
9313,-1.0581283569335938
9318,-1.0581283569335938
9325,-1.0581283569335938
9337,-1.0581283569335938
9343,-1.0581283569335938
9364,-1.0581283569335938
9369,-1.0581283569335938
9376,-1.0581283569335938
9388,-1.0581283569335938
9394,-1.0581283569335938
9415,-1.0581283569335938
9420,-1.0581283569335938
9427,-1.0581283569335938
9439,-1.0581283569335938
9445,-1.0581283569335938
9466,-1.0581283569335938
9471,-1.0581283569335938
9478,-1.0581283569335938
9490,-1.0581283569335938
9496,-1.0581283569335938
9517,-1.0581283569335938
9522,-1.0581283569335938
9529,-1.0581283569335938
9541,-1.0581283569335938
9547,-1.0581283569335938
9568,-1.0581283569335938
9573,-1.0581283569335938
9580,-1.0581283569335938
9592,-1.0581283569335938
9598,-1.0581283569335938
9619,-1.0581283569335938
9624,-1.0581283569335938
9631,-1.0581283569335938
9643,-1.0581283569335938
9649,-1.0581283569335938
9670,-1.0581283569335938
9675,-1.0581283569335938
9682,-1.0581283569335938
9694,-1.0581283569335938
9700,-1.0581283569335938
9721,-1.0581283569335938
9726,-1.0581283569335938
9733,-1.0581283569335938
9745,-1.0581283569335938
9751,-1.0581283569335938
9772,-1.0581283569335938
9777,-1.0581283569335938
9784,-1.0581283569335938
9796,-1.0581283569335938
9802,-1.0581283569335938
9823,-1.0581283569335938
9828,-1.0581283569335938
9835,-1.0581283569335938
9847,-1.0581283569335938
9853,-1.0581283569335938
9874,-1.0581283569335938
9879,-1.0581283569335938
9886,-1.0581283569335938
9898,-1.0581283569335938
9904,-1.0581283569335938
9925,-1.0581283569335938
9930,-1.0581283569335938
9937,-1.0581283569335938
9949,-1.0581283569335938
9955,-1.0581283569335938
9976,-1.0581283569335938
9981,-1.0581283569335938
9988,-1.0581283569335938
10000,-1.0581283569335938
10006,-1.0581283569335938
10027,-1.0581283569335938
10032,-1.0581283569335938
10039,-1.0581283569335938
10051,-1.0581283569335938
10057,-1.0581283569335938
10078,-1.0581283569335938
10083,-1.0581283569335938
10090,-1.0581283569335938
10102,-1.0581283569335938
10108,-1.0581283569335938
10129,-1.0581283569335938
10134,-1.0581283569335938
10141,-1.0581283569335938
10153,-1.0581283569335938
10159,-1.0581283569335938
10180,-1.0581283569335938
10185,-1.0581283569335938
10192,-1.0581283569335938
10204,-1.0581283569335938
10210,-1.0581283569335938
10231,-1.0581283569335938
10236,-1.0581283569335938
10243,-1.0581283569335938
10255,-1.0581283569335938
10261,-1.0581283569335938
10282,-1.0581283569335938
10287,-1.0581283569335938
10294,-1.0581283569335938
10306,-1.0581283569335938
10312,-1.0581283569335938
10333,-1.0581283569335938
10338,-1.0581283569335938
10345,-1.0581283569335938
10357,-1.0581283569335938
10363,-1.0581283569335938
10384,-1.0581283569335938
10389,-1.0581283569335938
10396,-1.0581283569335938
10408,-1.0581283569335938
10414,-1.0581283569335938
10435,-1.0581283569335938
10440,-1.0581283569335938
10447,-1.0581283569335938
10459,-1.0581283569335938
10465,-1.0581283569335938
10486,-1.0581283569335938
10491,-1.0581283569335938
10498,-1.0581283569335938
10510,-1.0581283569335938
10516,-1.0581283569335938
10537,-1.0581283569335938
10542,-1.0581283569335938
10549,-1.0581283569335938
10561,-1.0581283569335938
10567,-1.0581283569335938
10588,-1.0581283569335938
10593,-1.0581283569335938
10600,-1.0581283569335938
10612,-1.0581283569335938
10618,-1.0581283569335938
10639,-1.0581283569335938
10644,-1.0581283569335938
10651,-1.0581283569335938
10663,-1.0581283569335938
10669,-1.0581283569335938
10690,-1.0581283569335938
10695,-1.0581283569335938
10702,-1.0581283569335938
10714,-1.0581283569335938
10720,-1.0581283569335938
10741,-1.0581283569335938
10746,-1.0581283569335938
10753,-1.0581283569335938
10765,-1.0581283569335938
10771,-1.0581283569335938
10792,-1.0581283569335938
10797,-1.0581283569335938
10804,-1.0581283569335938
10816,-1.0581283569335938
10822,-1.0581283569335938
10843,-1.0581283569335938
10848,-1.0581283569335938
10855,-1.0581283569335938
10867,-1.0581283569335938
10873,-1.0581283569335938
10894,-1.0581283569335938
10899,-1.0581283569335938
10906,-1.0581283569335938
10918,-1.0581283569335938
10924,-1.0581283569335938
10945,-1.0581283569335938
10950,-1.0581283569335938
10957,-1.0581283569335938
10969,-1.0581283569335938
10975,-1.0581283569335938
10996,-1.0581283569335938
11001,-1.0581283569335938
11008,-1.0581283569335938
11020,-1.0581283569335938
11026,-1.0581283569335938
